Year,First Name,County,Sex,Count
2013,GAVIN,ST LAWRENCE,M,9
2013,LEVI,ST LAWRENCE,M,9
2013,LOGAN,NEW YORK,M,44
2013,HUDSON,NEW YORK,M,49
2013,GABRIEL,NEW YORK,M,50
2013,THEODORE,NEW YORK,M,51
2013,ELIZA,KINGS,F,16
2013,MADELEINE,KINGS,F,16
2013,ZARA,KINGS,F,16
2013,DAISY,KINGS,F,16
2013,JONATHAN,NEW YORK,M,51
2013,CHRISTOPHER,NEW YORK,M,52
2013,LUKE,SUFFOLK,M,49
2013,JACKSON,NEW YORK,M,53
2013,JACKSON,SUFFOLK,M,49
2013,JOSHUA,NEW YORK,M,53
2013,AIDEN,NEW YORK,M,53
2013,BRANDON,SUFFOLK,M,50
2013,JUDY,KINGS,F,16
2013,MASON,ST LAWRENCE,M,8
2013,DAVID,NEW YORK,M,53
2013,NOAH,ST LAWRENCE,M,8
2013,AIDEN,ST LAWRENCE,M,8
2013,SEBASTIAN,NEW YORK,M,57
2013,SAMUEL,NEW YORK,M,59
2013,MAX,NEW YORK,M,62
2013,DEVORA,KINGS,F,16
2013,OLIVER,NEW YORK,M,66
2013,JOSEPH,NEW YORK,M,66
2013,JAYDEN,NEW YORK,M,66
2013,LEO,NEW YORK,M,67
2013,JOHN,NEW YORK,M,68
2013,MICHAEL,NEW YORK,M,68
2013,MASON,NEW YORK,M,69